English	Yoruba
"The US Ambassador to Nigeria, W. Stuart Symington stated this in a statement to mark World Malaria day with the theme: """"Zero Malaria Starts with Me."""	"Alaga orilè-ede US, W. Stuart Symington so òrò yii ninu òrò kan ti wón pe ni: """"Zero Malaria Bèrè pèlu Mi."""
There was a lot of reporting about this group, Doctors Without Borders, sounding the alarm and calling for aid and assistance.	Òpò eeyan lo n sòrò nipa egbé yii, awon dokita to n boju to isèlè naa, wón si n pe awon ara lówó, wón si n pe wón fun won nisiiri ati iranlówó.
"""Ewe, who is the director of engineering in Yoruba section said as the yoruba section have started broadcasting from Abuja will make the listeners of Voice of Nigeria from abroad will hear them clearly."	"""Ewe, to jé oludari awon onimò-ijinlè lorilè-ede Yoruba sòrò bi awon eeyan ti bèrè si n sòrò lati ilu Abuja, yoo mu ki awon to n sòrò Voice of Nigeria lati orilè-ede òtòòtò yoo gbó "
Fabricated claims of Yoruba burning Igbo shops in Lagos	Wón fi òrò kan pe awon orilè ede Yoruba n sun awon osisé Igbo ni Eko
Nigeria's First Lady, Mrs Aisha Buhari has donated medical items to support the fight against the spread of the deadly Coronavirus disease known as COVID-19.	Obinrin Aisha Buhari ti seto awon nnkan to n boju to arun COVID-19 ti o n pe ni COVID-19.
The governor in a broadcast imposed a ban on all commercial activities as well as intra state travels, except for those bordering on essential services.	Gomina ipinlè naa fi ofin si gbogbo awon nnkan to n selè ati awon nnkan to n selè lorilè-ede naa, sugbón fun awon nnkan ti wón n se lorilè-ede naa.
There was one vacant room inside Mama's mud building in the village where Alamu could put up, if need be, when finally they succeeded in bringing to the district.	Roomu kan wa ninu ile ti mama n gbe ni agbegbe ti Alamu le gbe, ti o ba ye, nigba ti wón tèsiwaju pe wón gbe e lo si agbegbe naa.
"Or maybe it's not about Afrocentricity, and it's more just about it being a little too ""urban"" for the professional setting."	Ta a ba jé pe o n sòrò nipa awon ara ilè Adulawò, o si n sòrò nipa bi wón se n sòrò nipa bi wón se n sisé lówó.
On Monday, Prof Osinbajo was to inaugurate the National Traffic Radio at the headquarters of the Federal Road Saftey Corps, FRSC, Wuse, Abuja.	Ni Monday, Ògbéni Osinbajo yoo kede èro ayelujara National Traffic Radio ni orilè-ede Federal Road Saftey Corps, FRSC, Wuse, Abuja.
But that's not enough to solve the puzzle.	Sugbón iyen o to lati yanju isoro naa.
If a child ascends the height of maturity, he/she must become wise.	Bi omo ba di omode, o gbodò di ògbón.
In other words, everything is permissible to monitor and control in the proposed law - under the guise of fighting false information.	Ni òrò miiran, gbogbo eeyan lo ni ètó lati boju to ofin ti wón gbe kawon eeyan, ki wón si boju to awon òrò èké.
"Consequently, ""no appeal may be made to the High Court"" [Section 13 (2) ] by any party to revoke such a ban without first applying to the police to revoke an existing blocking order."	"Nitori naa, ""ki i se ejó kankan si Ile Ejó Giga Ju Lo"" [Abala 13 (2) ] ti ejó kòòkan o le gbe ejó naa silè laisi pe ki awon olópaa kókó se ejó naa."
I would suggest that these three questions and the nativist animus behind them have succeeded in framing the larger contours of the immigration debate.	Mo maa ro awon ibeere méta yii ati awon ohun ti wón n sisé léyin won ti mu ki òrò ijoba pò si i.
A Former Military President of Nigeria, Ibrahim Badamasi Babangida, has commended the Nigerian government on the efforts so far made towards managing the spread of COVID 19 in the Country.	Aare orilè ede Naijiria, Ibrahim Badamasi Babangida ti gboriyin fun ijoba orilè ede Naijiria lori isé ti wón se lati boju to arun COVID 19 lorilè ede Naijiria.
It's a blunt instrument.	Eegun nla ni.
If a powerful adversary like a government is targeting you, it might not be.	Bi ologun bi i ijoba ba n gbe e, o le se e.
President Muhammadu Buhari has congratulated British Prime Minister, Boris Johnson following his discharge from the hospital over COVID-19.	Aare Muhammadu Buhari ti dupé lówó aare orilè-ede British, Boris Johnson léyin ti wón jade nile iwosan lori arun COVID-19.
Do you know I am a pastor and I am in my 50's but if I want a girl of 17 years, all I need is a sweet tongue and put some money...	Se e mò pe mo jé osisé, mo si wa ninu odun marundinlaaadórin (50), sugbón bi mo ba fé obinrin odun mésan-an, gbogbo ohun ti mo nilo ni èyin eeyan n nilo ni èyin eeyan.
#NAME?	#NAME?
Labake took a cursory look at the small figure in front of her.	Labake wo ohun kekere ti o wa loju rè.
"The Permanent Secretary, Federal Ministry of Labour and Employment, William Alo, says Nigeria needs assistance from the U.S in ""tackling the unemployment challenges bedeviling the country."""	"Akòwe òhun, William Alo, ni orilè ede Naijiria nilo iranlówó lati orilè ede Naijiria lati ""boju to awon isoro ti o n koju orilè ede Naijiria."""
Center for disease control in Nigeria (NCDC) has announced that another fourteen people have tested positive for corona virus (COVID-19) in Nigeria. Nine (9) from Lagos state and five (5) from the federal capital territory, Abuja.	Center for disease control in Nigeria (NCDC) ti kede pe awon eeyan mérindinlogun lo ti sewadii fun arun corona (COVID-19) ni orilè-ede Naijiria. Awon mókandinlogun (9) lati ipinlè Eko ati marun-un (5) lati ipinlè Abuja.
We just had research with the World Bank, and 87 percent of the Syrians in Jordan and 93 percent of the Syrians in Lebanon live below the national poverty lines.	A ti se iwadii pèlu Ile-isé Agbaye, ida méjo ati ida méjo ninu awon omo ilè Siria ni Jordan ati ida mésan-an ninu awon omo ilè Lebanoni lo n gbe lorilè-ede Naijiria.
I think we can match their courage with some support.	Mo ro pe a le fi igboya won silè pèlu iranlówó.
Goma has been preparing for the arrival of Ebola for a year, setting up hand-washing stations and making sure motorcycle riders do not share helmets.	Goma ti n seto fun Ebola fun odun kan, o si ti n boju to awon ibi ti awon ololufé okò okò okò okò okò okò okò okò.
Why does it matter if my children are being tracked?	Kilode ti wón fi n wo awon omo mi?
This is not democracy -- spreading lies in darkness, paid for with illegal cash, from God knows where.	Eyi ki i se idagbasoke -- n gbe iroyin jade ninu òkan-o-jòkan, ti a san owo òdaran, lati owó Olórun mò ibi ti wón n gbe.
And that explained why the old woman gazed at her son in wonder and incredulity the day he finally arrived back in the country from England.	Eyi si salaye idi ti obinrin arugbo naa fi n wo omo rè lójó ti wón pada si orilè-ede England.
And, I mean, it all went quite well, but it always felt that something was missing.	Mo n so pe, gbogbo won lo dara, sugbón nigba gbogbo ni n ronu pe nnkan kan o sisé.
They're best known as the inventors of chemically-based hair creams and heat straightening tools designed to permanently, or semipermanently, alter the texture of black hair.	Wón maa n mò gégé bi onimò nipa awon ohun-elo ti wón fi n boju to irun ati awon ohun-elo ti wón fi n boju to irun ti wón fi n boju to.
Alamu's condition had improved, Alamu would not suffer the indignity of having his head shaved. He would not suffer the humiliation of being thrown inside the dark room of the mad house with those eccentric inmates velling and hooting.	Ibi ti nnkan ti n selè ni ilu Alamu, o ni jé ki i se ohun ti o selè, o ni jé ki i se ohun ti wón n fi oruko rè silè, o ni jé ki wón fi awon eeyan ti n sòrò ati 
He disclosed that the Media City Training Academy was only the second of its type in Africa and the first is in Egypt.	O salaye pe ile-isé iwadii iwadii naa nikan ni orilè-ede Afirika, o si ni orilè-ede Egypt.
Bafana Bafana coach Stuart Baxter has recalled midfielder Thulani Serero of SBV Vitesse FC in the Netherlands in his squad for the must-win 2019 Africa Cup of Nations (Afcon) qualifier against Nigeria at FNB Stadium on 17 November.	Akónimòógba Bafana Bafana, Stuart Baxter ti so fun ikò agbabóòlu ikò agbabóòlu òhun, Thulani Serero ninu ikò agbabóòlu SBV Vitesse FC ninu ikò agbabóòlu orilè-ede Netherlands ninu ifesèwonsè òhun
It might be seemly for a masquerader to chase one off a corn farm, but it is not seemly for Pákọ̀kọ̀ to chase one in the middle of town.	O le jé pe eegun n gbe oko, sugbón ko jé pe Pakòkò n gbe oko.
Patrons are now required to wear masks and will have their temperature taken as well.	Ni bayii, wón ni ki awon osisé to n boju to oju won, wón si ni ki wón ri ojó ti wón fi n wo oju won.
YKS, with 2.5 million students, is taking place despite all the warnings: social distancing disappeared	Ikò YKS, pèlu miliònu meji ati miliònu meji awon akékòó, o n sisé, bo tiè jé pe gbogbo awon ikékòó lori èro-alatagba o jade
In a message posted in French on his Instagram page, Weah thanked his PSG team mates, the coaching staff and supporters for making him feel part of the family.	Ninu òrò kan ti wón gbe lori èro Instagram rè, Wah dupé lówó awon akékòó PSG, awon agbabóòlu agbabóòlu ati awon ololufé rè fun bi o se n ri i pe o dara pò mó idile.
Doctors and scientists are still researching and debating the possible origin of the previously unknown Wuhan coronavirus, which causes COVID-2019, a respiratory virus that infects the lungs and can lead to pneumonia.	Awon onimò-ijinlè ati onimò-ijinlè si n sisé nipa bi wón se n ri arun COVID-19 ti wón ti mò nipa rè, iyen arun ti wón n pe ni Wuhan coronavirus, ti o jé COVID-19, arun ti o n fa arun
We've just started construction only three weeks ago on a women's enterprise center where we're going to be working with these women not only as expert beekeepers but as amazing basket weavers; they're going to be processing chili oils, sunflower oils, making lip balms and honey, and we're somewhere on our way to helping these participating farmers live with better eco-generating projects that live and work better with living with elephants.	A ti bèrè isé lósè méta séyin nibi ti a maa n sisé pèlu awon obinrin yii, ki i se gégé bi òkan-o-jòkan-o-jòkan nikan, amó gégé bi òkan-o-jòkan-o-
He received two awards in a competition based on the popular vote.	O gba ami-èye meji ninu ifesèwonsè ti o waye lori èro-alatagba.
Everything inside the house in order.	Gbogbo nnkan to wa nile ni ki wón le se e.
Indeed there is a UN tobacco treaty that has been ratified by 180 countries.	Ni bayii, a ti se iforukosilè ti o le ni egbèrun lóna ogórun-un lóna ogórun-un  (180) orilè-ede.
#NAME?	#NAME?
"""God brought me something like a map,"" Ouma told BBC Swahili."	"Ouma so fun BBC Swahili pe: ""Olórun fun mi ni nnkan bi aworan."
You are talking about things that require a long-term perspective, a development perspective and not only an emergency humanitarian aid perspective.	O n sòrò nipa awon nnkan ti o nilo èro-ayarabiasa, èro-ayarabiasa ati ki i se èro-ayarabiasa nikan.
"""I am aware that Mr President and his wife Aisha Buhari had concluded arrangements to travel to Bayelsa to witness the inauguration of the APC Governorship candidate as Governor of Bayelsa State."	"""Mo mò pe Ògbéni Aare ati iyawo rè Aisha Buhari ti seto lati rinrin lo si Bayelsa lati sòrò lori ijoba ipinlè Bayelsa."
Your child has to be adequately protected.	O ni lati daabo bo omo re.
#NAME?	#NAME?
Photo by US Air Force Tech. Sgt. Jeremy T. Lock. Public Domain.	Aworan lati owó agbabóòlu Air Forces, Jeremy T. Lock. Public Domain.
How one sits causes one to carry the leaves used to wrap corn-meal to the dump.	Bi a ba sòrò, a maa gbe ewe ti a fi n gbe oko silè.
The project is funded by the Africa Digital Rights Fund of The Collaboration on International ICT Policy for East and Southern Africa (CIPESA).	Èka ófiisi ti o n boju to awon ètó lori èro-ayarabiasa lorilè-ede Afirika (CIPESA).
And something that my team and I discovered recently was that cancer cells are able to communicate with each other and coordinate their movement, based on how closely packed they are in the tumor microenvironment.	Nnkan ti mo ati awon ara mi ri silè ni pe awon eemi arun o le sòrò pèlu ara won, ki wón si sakoso ara won, bi wón se n boju to arun naa.
The great irony is that, as tropical storms intensify as a result of the climate crisis, reefs are needed more than ever to absorb the force of waves and create a buffer between the ocean and the shore - but the reefs are compromised by global heating.	Ohun to bani ninu jé ni pe, bi iji lile se n pò si i lorilè-ede yii, awon eeyan nilo ki awon eeyan le gbe awon eeyan laaarin oju omi ati oju omi - sugbón awon eeyan nilo ki wón
If you enable this feature you'll be prompted for both a password and a secondary method of authentication.	Bi o ba fun èro yii lówó, o maa nilo idanimò ati òna miiran fun idanimò-ayarabiasa.
Labake was annoyed with herself.	Labake dun ara rè.
But we don't really know how and why that happens.	Sugbón a o mo bi ati idi ti eyi se n selè.
Another twenty-four (24) people were tested positive for corona virus (COVID 19) in Nigeria this made the total of infected people to be one thousand, nine hundred and thirty-two (1932) when three hundred and nineteen (319) have been discharged, and fifty-eight (58) are dead. The Nigeria centre for disease control (NCDC) announced this on their twitter handle @NCDC.gov.	Awon eeyan mérinlelógbòn (24) mii ti wón sewadii fun arun corona (COVID 19) ni orilè-ede Naijiria, eyi mu ki iye awon ti wón fara pa ni egbèrun meji ati ogórun-un méta o le ogórun-un méta o le ogórun
Professor Yakasai is the Local Organising Committee chairman.	Òjògbón Yakasai jé alaga Igbimò To N Seto Iranwó Nigba Ajalu.
He continues:	O n tèsiwaju:
Way back in England, Adio was a slim shy-looking man; so indigent - always praying for the quick arrival of his scholarship reimbursement from the High Commission.	Nigba ti Adio ti wa ni orilè-ede England, o jé òkan-o-jòkan-o-jòkan-o-jòkan-o-jòkan; o si n gbadura fun ipese èkó rè lati Ile Isakoso Giga Ju Lo.
All will be well at last.	Gbogbo awon eeyan ni a maa daadaa.
Àkàrà or Nigerian bean cake is a staple breakfast in Nigeria, July 11, 2013. Photo by Atimukoh via Wikimedia Commons, CC BY 2.0.	Akara tabi omo orilè ede Naijiria ni July 11, 2013. Aworan lati owó Atimukoh lati owó Flickr, CC BY 2.0.
In terms of ethnically-charged disinformation, some APC supporters accused Obi of being a bigot for purportedly deporting northerners while he was governor of Anambra State, in southeast Nigeria.	Nigba ti awon agbejóro APC kan fèsun kan Obi pe o jé òkan lara awon eeyan to n sisé lorilè-ede Naijiria, wón fèsun kan Obi pe o jé òkan lara awon to n sisé lorilè-ede Naijiria,
We just need to have the right technology to make them talk.	A nikan ni lati ni èro-ayarabiasa to daa lati sòrò.
Online ethnic hate speech was also pronounced before, during and after the elections.	Wón tun n sòrò nipa awon eeyan lori èro-ibanisòrò lori èro-ibanisòrò lori èro-ibanisòrò lori èro-ibanisòrò lori èro-ibanisòrò.
The Council people had tried, without much success to do something about the security of life and property of the people who patronised the place.	Awon Elérii Jehofa ti gbiyanju lati se nnkan nipa aabo ati ile awon eniyan ti wón n boju to ibi naa.
The 45-year-old Berhalter replaces interim coach Dave Sarachan to become the youngest coach to lead the team since Steve Sampson in 1995.	Ògbéni Berhalter to jé omo odun marundinlaaadóta (44) lo sisé ologun, Dave Sarachan lati di akónimòógba akónimòógba òhun lati odun 1995.
President mourn with the families of those that loss their lives, he appeal to all to be watchful and to report to the law enforcement agents if they suspect criminals in their environment.	Aare n sòrò pèlu awon idile awon ti wón pa èmi won, o tun pe ki gbogbo eeyan maa wo ijoba bi wón ba fèsun iwa òdaran kan won.
Some fifteen minutes later, the learned Judge started reviewing the submissions of both the plaintiff and the defendant, finally pronouncing the verdict: wrongful termination of appointment of the Senior Accountant of Bajoks Company Limited, Mr. Alamu Olaoye. Action of the Personnel Manager, illegal.	Nnkan bii igba mésan-an léyin naa, adajó naa bèrè iwadii òhun ati òkan lara awon to fèsun òdaran naa, o si so pe ejó naa o daa.
Other past recipients include Japanese Prime Minister Shinzo Abe, Chancellor Angela Merkel of Germany and former UN Secretary General Ban Ki-Moon.	Bakan naa, aare orilè-ede Japan, Shinzo Abe, agbaweremésin Angela Merkel lorilè-ede Jamani ati Òga agba ajo UN, Ban Ki-Moon.
In fact, everyone here must be part of the solution.	Ni bayii, gbogbo awon to wa nibè ni lati jé òkan lara awon isoro naa.
Come to think of it, Labake, what Mama did is exactly what my own old mother would have done too in similar circumstance.	E ronu nipa rè, Labake, nnkan ti mama mi n se ni nnkan ti iya mi alabóde ti maa se nigba kan naa.
Esuniyi held out the piece of paper inside which Labake's lock of hair and nails were wrapped.... 'No problem, Mama'	Esinisi fi iwe naa silè ninu èwòn ti Labake fi èwòn ati èwòn rè silè.... 'O nira, mama'
However, as a Yorùbá chief, he focused his cultural work on uniting the seven grandchildren of Odùduwa, serving as a mediator.	Amó, gégé bi agbabóòlu orilè ede Yoruba, o n sisé gégé bi òkan lara awon omo meje Oduduwa, o si n sisé gégé bi akòroyin.
