English	Yoruba
The governor in a broadcast imposed a ban on all commercial activities as well as intra state travels, except for those bordering on essential services.	Gomina ipinlè naa fi ofin silè fun gbogbo awon nnkan ti o n se lori ayelujara ati awon nnkan ti o n se lorilè ede Naijiria, sugbón fun awon ti o n gbe lori awon nnkan amayederun
There was one vacant room inside Mama's mud building in the village where Alamu could put up, if need be, when finally they succeeded in bringing to the district.	Iyò kan wa ninu ile mama ni agbegbe ti Alamu le gbe, ti o ba si ye, nigba ti wón tèsiwaju lati mu awon eeyan wa si agbegbe naa.
"Or maybe it's not about Afrocentricity, and it's more just about it being a little too ""urban"" for the professional setting."	Yatò si pe ki i se nipa ibasepò awon omo ilè Adulawò, o si ju nipa pe o n se nipa ibasepò awon onimò-èkó.
On Monday, Prof Osinbajo was to inaugurate the National Traffic Radio at the headquarters of the Federal Road Saftey Corps, FRSC, Wuse, Abuja.	Ni ojó Aje, Òmòwe Osinbajo maa se ifilólè èro ayelujara National Traffic Radio ni orilè-ede Federal Road Saftey Corps, Federal Road Saftey Corps, Federal Road Saftey Corps, Federal Road Saftey Corps, Federal Road Saftey Corps, Federal Road Safte
But that's not enough to solve the puzzle.	Sugbón iyen o to lati yanju isoro naa.
If a child ascends the height of maturity, he/she must become wise.	Bi omode ba tèsiwaju, o gbodò di ologbón.
In other words, everything is permissible to monitor and control in the proposed law - under the guise of fighting false information.	Ni òrò miiran, gbogbo nnkan lo lee se lati wo ati daabo bo ofin ti wón se - labé ofin èké.
"Consequently, ""no appeal may be made to the High Court"" [Section 13 (2) ] by any party to revoke such a ban without first applying to the police to revoke an existing blocking order."	"Nitori naa, ""ki i se ejó kankan si Ile Ejó Giga Ju Lo"" [Abala 13 (2) ] ti egbé enikéni kòòkan le gbe ejó naa silè laisi pe ki wón kókó pe awon olópaa kókó foruko èsin won silè."
I would suggest that these three questions and the nativist animus behind them have succeeded in framing the larger contours of the immigration debate.	Mo maa ro awon ibeere méta wònyi ati awon ohun ti o fi mó won ti mu ki òrò awon omo ilè-o-jòkan-o-jòkan-o-jòkan-o-jòkan-o-jòkan-o-jòkan-o-jòkan-
A Former Military President of Nigeria, Ibrahim Badamasi Babangida, has commended the Nigerian government on the efforts so far made towards managing the spread of COVID 19 in the Country.	Aare orilè ede Naijiria, Ibrahim Badamasi Babangida, ti dupé lówó ijoba orilè ede Naijiria lori isé ti wón se lati boju to arun COVID 19 lorilè ede Naijiria.
It's a blunt instrument.	Ohun-elo nla ni.
If a powerful adversary like a government is targeting you, it might not be.	Bi òta agbara bii ijoba ba n wo o, ki i se béè.
President Muhammadu Buhari has congratulated British Prime Minister, Boris Johnson following his discharge from the hospital over COVID-19.	Aare orilè ede Britain, Boris Johnson ti fi òrò rè han lówó aare orilè ede Britain léyin ti o ti jade nile iwosan lori arun COVID-19.
Do you know I am a pastor and I am in my 50's but if I want a girl of 17 years, all I need is a sweet tongue and put some money...	Se o mò pe mo jé asaaju, mo si wa ni ogóta (50) odun mi sugbón ti mo ba fé omobinrin odun métadinlogun (17), gbogbo ohun ti mo nilo ni ahọ́n to dun, o si fi owo...
#NAME?	#name?
Labake took a cursory look at the small figure in front of her.	Labake wo awo kekere to wa niwaju rè.
"The Permanent Secretary, Federal Ministry of Labour and Employment, William Alo, says Nigeria needs assistance from the U.S in ""tackling the unemployment challenges bedeviling the country."""	"Akòroyin to n jé William Alo, ni orilè ede Naijiria nilo iranlówó lati orilè ede US lati ""boju to awon isoro ti o n ba orilè ede Naijiria jé."""
Center for disease control in Nigeria (NCDC) has announced that another fourteen people have tested positive for corona virus (COVID-19) in Nigeria. Nine (9) from Lagos state and five (5) from the federal capital territory, Abuja.	Center for prevention of disease in Nigeria (NCDC) ti kede pe awon mérindinlogoji eeyan mii ti wón ti sewadii nipa arun corona ni orilè ede Naijiria. Ninu awon mésan-an (9) lati ipinlè Eko ati marun-un (5) lati ipinlè Abuja.
We just had research with the World Bank, and 87 percent of the Syrians in Jordan and 93 percent of the Syrians in Lebanon live below the national poverty lines.	A sisé iwadii pèlu Ile-isé Agbaye, ida mésan-an lara awon omo ilè Siria ni Jordan ati ida mésan-an lara awon omo ilè Lebanon lo n gbe lailo osi.
I think we can match their courage with some support.	Mo ro pe a le fi igboya won setiléyin.
Goma has been preparing for the arrival of Ebola for a year, setting up hand-washing stations and making sure motorcycle riders do not share helmets.	Goma ti n seto fun odun kan ti arun Ebola maa bèrè, o si ti n seto bi awon ololufé okò okò okò okò okò.
Why does it matter if my children are being tracked?	Kilode ti wón fi n wo awon omo mi?
This is not democracy -- spreading lies in darkness, paid for with illegal cash, from God knows where.	Eyi ki i se idagbasoke -- wón n gbe iró ni òrun, wón n san owo ti o bofin mu, lati owó Olórun mò ibi ti wón wa.
And that explained why the old woman gazed at her son in wonder and incredulity the day he finally arrived back in the country from England.	Eyi si salaye idi ti omobinrin naa fi n wo omo rè ni òkan-o-jòkan nigba ti o pada si orilè-ede England.
And, I mean, it all went quite well, but it always felt that something was missing.	Mo n so nipa rè, gbogbo nnkan lo dara, sugbón o maa n ro o pe nnkan kan wa ninu rè.
They're best known as the inventors of chemically-based hair creams and heat straightening tools designed to permanently, or semipermanently, alter the texture of black hair.	Wón maa n mò gégé bi onisona awon ohun-elo ti wón fi n boju to irun ati awon ohun-elo ti wón fi n boju to ina, ti wón fi n boju to irun òpòlopò.
Alamu's condition had improved, Alamu would not suffer the indignity of having his head shaved. He would not suffer the humiliation of being thrown inside the dark room of the mad house with those eccentric inmates velling and hooting.	Ibi ti nnkan ti n selè ni ilu Alamu ti pò si i, o o ni jé ki wón gbe ori rè silè, o o ni jé ki wón gbe e léwòn.
He disclosed that the Media City Training Academy was only the second of its type in Africa and the first is in Egypt.	O salaye pe ile-èkó ikékòó ti wón n kó awon to n kó awon to n kó awon to n kó awon to wa ni ilè Adulawò lo jé èkó keji lara awon ile-èkó naa ni ilè Adulawò, o si
Bafana Bafana coach Stuart Baxter has recalled midfielder Thulani Serero of SBV Vitesse FC in the Netherlands in his squad for the must-win 2019 Africa Cup of Nations (Afcon) qualifier against Nigeria at FNB Stadium on 17 November.	Akónimòógba agba ikò Bafana Bafana, Stuart Baxter ti so pe, ikò agbabóòlu òhun, Thulani Serero ti ikò agbabóòlu SBV Vitesse FC ni Netherlands ninu ikò rè fun ifesèwonsè olórèéjòré ti yoo waye ni papa isere F
It might be seemly for a masquerader to chase one off a corn farm, but it is not seemly for Pákọ̀kọ̀ to chase one in the middle of town.	O dabii pe eegun la n gbe oko, sugbón ko dabii pe Pakòkò la n gbe laaarin ilu.
Patrons are now required to wear masks and will have their temperature taken as well.	Ni bayii, wón ni ki awon akósémosé wo aworan, wón si ni ki wón ri ojó ti wón n gbe.
YKS, with 2.5 million students, is taking place despite all the warnings: social distancing disappeared	Ikò YKS, pèlu miliònu meji ati miliònu meji awon akékòó, o n se e, bo tiè jé pe gbogbo awon ikékòó naa ni: a o tii sisé lori ayelujara
In a message posted in French on his Instagram page, Weah thanked his PSG team mates, the coaching staff and supporters for making him feel part of the family.	Ninu òrò kan ti wón gbe lori èro Instagram rè, Wah dupé lówó awon ololufé PSG, awon agbabóòlu ati awon agbabóòlu rè fun bi o se jé ara idile rè.
Doctors and scientists are still researching and debating the possible origin of the previously unknown Wuhan coronavirus, which causes COVID-2019, a respiratory virus that infects the lungs and can lead to pneumonia.	Awon dokita ati awon onimò-ijinlè si n swadii nipa bi wuhan coronavirus ti a ti mò télè, ti o si n fa arun COVID-19, èro abe to n fa arun abe ninu èkun, ti o si le fa arun pneumonia.
We've just started construction only three weeks ago on a women's enterprise center where we're going to be working with these women not only as expert beekeepers but as amazing basket weavers; they're going to be processing chili oils, sunflower oils, making lip balms and honey, and we're somewhere on our way to helping these participating farmers live with better eco-generating projects that live and work better with living with elephants.	Ni òsè méta séyin, a ti bèrè isé lori awon obinrin kan ti a maa sisé pèlu awon obinrin wònyi nikan, a o si maa sisé pèlu awon obinrin wònyi nikan, a o maa sisé pèlu awon
He received two awards in a competition based on the popular vote.	O gba ami-èye meji ninu ifesèwonsè olórèéjòré ti o waye lorilè-ede Naijiiria.
Everything inside the house in order.	Gbogbo ohun to wa ninu ile lo ye.
Indeed there is a UN tobacco treaty that has been ratified by 180 countries.	Ni bayii, a ti se ifowósowópò pèlu egbèrun lóna ogórun-un (180) orilè-ede.
#NAME?	#name?
"""God brought me something like a map,"" Ouma told BBC Swahili."	"Ouma so fun iwe iroyin BBC Swahili pe: ""Olórun mu nnkan bii aworan."
You are talking about things that require a long-term perspective, a development perspective and not only an emergency humanitarian aid perspective.	O n sòrò nipa awon nnkan ti o ye ki i se idagbasoke, oju idagbasoke ati oju iranlówó nigba isèlè.
"""I am aware that Mr President and his wife Aisha Buhari had concluded arrangements to travel to Bayelsa to witness the inauguration of the APC Governorship candidate as Governor of Bayelsa State."	"""Mo mò pe Ògbéni Aare ati iyawo rè Aisha Buhari ti seto lati rinrin lo si ilu Bayelsa lati waasu igbakeji gomina ipinlè APC gégé bi gomina ipinlè Bayelsa."
Your child has to be adequately protected.	Omo re ni lati daabo bo o daadaa.
#NAME?	#name?
Photo by US Air Force Tech. Sgt. Jeremy T. Lock. Public Domain.	Aworan lati owó agbabóòlu Air Force, Jeremy T. Lock. Public Domain.
How one sits causes one to carry the leaves used to wrap corn-meal to the dump.	Bi a ba sòrò, a n gbe ewe ti a fi n gbe eegun silè.
The project is funded by the Africa Digital Rights Fund of The Collaboration on International ICT Policy for East and Southern Africa (CIPESA).	Ètó Omoniyan ti Ajo To N Ri si Ètó Omoniyan nilè Adulawò (CIPESA).
And something that my team and I discovered recently was that cancer cells are able to communicate with each other and coordinate their movement, based on how closely packed they are in the tumor microenvironment.	Nnkan ti mo ati ikò mi ri lówólówó yii ni pe awon eeyan ninu ara won le sòrò nipa ara won, wón si n boju to igbesi aye won, nitori bi wón se n boju to ara won.
The great irony is that, as tropical storms intensify as a result of the climate crisis, reefs are needed more than ever to absorb the force of waves and create a buffer between the ocean and the shore - but the reefs are compromised by global heating.	Ohun to bani ninu jé ni pe, bi awon iji lile se n pò si i lorilè-ede yii, a nilo awon ewe ki wón le gbe agbara òpòlopò òpòlopò òpòlopò òpòlopò òpòlopò òpòlopò
If you enable this feature you'll be prompted for both a password and a secondary method of authentication.	Bi o ba fi èro yii silè, a maa ran o lówó fun òrò-ifiwole ati òna miiran fun idanimò miiran.
Labake was annoyed with herself.	Labake dun ara rè gan-an.
But we don't really know how and why that happens.	Sugbón a o mo bi ati idi ti eyi se n selè.
Another twenty-four (24) people were tested positive for corona virus (COVID 19) in Nigeria this made the total of infected people to be one thousand, nine hundred and thirty-two (1932) when three hundred and nineteen (319) have been discharged, and fifty-eight (58) are dead. The Nigeria centre for disease control (NCDC) announced this on their twitter handle @NCDC.gov.	Awon eeyan mérinlelógbòn (24) mii ti wón sewadii nipa arun corona (COVID 19) ni orilè-ede Naijiria yii mu ki iye awon ti wón fara pa di egbeegbèrun mejilelogun (1922) nigba ti igba méta ati métadinlógbòn (319)
Professor Yakasai is the Local Organising Committee chairman.	Òjògbón Yakasai ni alaga Igbimò To N Seto Iranwó Nigba Ajalu.
He continues:	O tun n tèsiwaju:
Way back in England, Adio was a slim shy-looking man; so indigent - always praying for the quick arrival of his scholarship reimbursement from the High Commission.	Nigba ti Adio wa ni orilè-ede England, o ni òkan-o-jòkan-o-jòkan-o-jòkan-o-jòkan; tori naa, o maa n gbadura fun iforukosilè rè lówó Ajo Giga Ju Lo.
All will be well at last.	Gbogbo eeyan ni yoo dara nigba to ba pari.
Àkàrà or Nigerian bean cake is a staple breakfast in Nigeria, July 11, 2013. Photo by Atimukoh via Wikimedia Commons, CC BY 2.0.	Akara tabi adie omo orilè ede Naijiria jé aala ayeye ni orilè ede Naijiria, July 11, 2013. Aworan lati owó Atimukoh lati owó Wikimedia Commons, CC BY 2.0.
In terms of ethnically-charged disinformation, some APC supporters accused Obi of being a bigot for purportedly deporting northerners while he was governor of Anambra State, in southeast Nigeria.	Nigba ti awon agbejóro egbé oselu kan fèsun kan Obi pe o jé òkan lara awon to n sisé ologun tori pe o n gbe awon ariwa òhun kuro ni ipinlè Anambra, ni apa guusu orilè-ede Naijiria.
We just need to have the right technology to make them talk.	A nilo lati ni imò-èro to daa lati so ohun ti wón n so.
Online ethnic hate speech was also pronounced before, during and after the elections.	Wón tun n sòrò lori èro ayelujara lasiko idibo ati léyin idibo.
The Council people had tried, without much success to do something about the security of life and property of the people who patronised the place.	Awon eeyan naa ti gbiyanju lati se nnkan nipa aabo èmi ati ohun ti awon eniyan ti wón se fun won.
The 45-year-old Berhalter replaces interim coach Dave Sarachan to become the youngest coach to lead the team since Steve Sampson in 1995.	Ògbéni Berhalter to jé eni odun marundinlaaadórin [45] òhun yan akónimòógba agba ikò agbabóòlu, Dave Sarachan lati di akónimòógba akónimòógba akónimòógba akónimòógba akónimòógba akónimòó
President mourn with the families of those that loss their lives, he appeal to all to be watchful and to report to the law enforcement agents if they suspect criminals in their environment.	Aare n sòfò pèlu awon idile awon ti wón ku ninu èmi won, o ni ki gbogbo won wa wo o, ki wón si ran awon agbofinro lówó bi wón ba fèsun òdaran kan awon olópaa ni agbegbe won.
Some fifteen minutes later, the learned Judge started reviewing the submissions of both the plaintiff and the defendant, finally pronouncing the verdict: wrongful termination of appointment of the Senior Accountant of Bajoks Company Limited, Mr. Alamu Olaoye. Action of the Personnel Manager, illegal.	Nnkan bii iséju marun-un léyin naa, adajó naa bèrè si i wo idajó ti awon agbejóro naa ati òkan lara awon agbejóro naa gbó, o si so pe ejó naa o bofin mu.
Other past recipients include Japanese Prime Minister Shinzo Abe, Chancellor Angela Merkel of Germany and former UN Secretary General Ban Ki-Moon.	Awon miiran ti o ti n sòrò yii ni: Aare orilè-ede Japan, Shinzo Abe, Alaga Angela Merkel ti Jamani ati akòwe agba ajo UN télèri, Ban Ki-Moon.
In fact, everyone here must be part of the solution.	Koda, gbogbo awon to wa nibè gbodò jé ara igbesè naa.
Come to think of it, Labake, what Mama did is exactly what my own old mother would have done too in similar circumstance.	Wa ronu nipa rè, Labake, nnkan ti mama mi ti se ni nnkan bi iru nnkan naa.
